Calibre,Projectile Type,Projectile Dimension,dia,Projectile Mass,Total Mass with Sabot,Petal Burst Pressure,Powder Mass,Actual Velocity,Expected Velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/Vol,Density,Moment of Inertia,cd,Sabot Length,Plate Material,Plate Thickness,Impact Angle,Kinetic Energy,Perforated
40 mm,B,6.98,6.98,11.67,14.3,63.16,1.16,1796.45,1843.41,cylindrical,type2,7.43,2.36,tungsten,0.276,787.608,1303.834,0.604,19300,0.2345,0.214,25.64,Titanium,24.76,23.5,18830.9,0
40 mm,A,17.95,17.95,12.94,15.29,24.29,5.78,1722.52,1762.52,ogive,type2,9.05,2.43,steel,0.351,738.471,236.775,3.119,7800,0.2631,0.173,88.77,Steel,27.33,16.5,19196.98,0
29 mm,C,5.01,5.01,19.51,21.45,40.57,2.91,1582.4,1552.91,spherical,type2,13.87,2.97,aluminum,0.305,299.684,256.052,1.17,2700,0.217,0.468,58.47,Steel,13.84,36.4,24426.42,1
29 mm,B,5.84,5.84,12.53,13.75,43.48,4.33,1025.47,1081.76,ogive,type2,10.75,12.46,steel,0.322,848.016,2125.043,0.399,7800,0.4322,0.591,60.51,Aluminum,9.14,5.2,6588.2,0
29 mm,C,10.47,10.47,16.57,18.24,62.94,2.97,1747.31,1787.47,cylindrical,type3,12.44,3.79,aluminum,0.659,450.698,2050.2,0.22,2700,0.2976,0.066,38.01,Titanium,19.63,27.2,25294.87,1
29 mm,B,15.3,15.3,19.21,20.48,31.95,3.8,732.18,741.66,cylindrical,type2,5.92,4.3,aluminum,0.897,661.67,648.987,1.02,2700,0.1541,0.158,94.07,Steel,9.75,32.0,5149.12,0
29 mm,B,10.13,10.13,8.91,10.29,76.84,4.83,906.84,877.59,ogive,type2,11.68,9.61,tungsten,0.656,709.954,2625.43,0.27,19300,0.1807,0.58,93.15,Steel,11.65,26.8,3663.61,0
40 mm,B,5.99,5.99,23.88,25.37,79.87,5.49,1378.56,1383.89,spherical,type1,3.81,14.45,tungsten,0.889,563.717,2055.344,0.274,19300,0.2186,0.238,61.34,Aluminum,15.01,12.3,22691.11,1
40 mm,C,9.77,9.77,12.12,14.03,69.13,7.58,1572.31,1654.73,ogive,type3,11.75,9.37,tungsten,0.604,249.027,631.354,0.394,19300,0.2613,0.264,37.43,Steel,16.57,35.7,14981.28,1
40 mm,C,8.67,8.67,13.39,14.42,37.98,3.33,1671.99,1617.29,spherical,type3,13.46,11.52,aluminum,0.398,727.711,1005.316,0.724,2700,0.3371,0.415,98.62,Aluminum,13.06,35.7,18716.21,1
40 mm,C,5.08,5.08,18.97,22.82,59.83,5.09,1030.56,990.57,cylindrical,type1,13.7,4.44,aluminum,0.811,322.518,2926.256,0.11,2700,0.4857,0.244,91.4,Aluminum,12.12,16.2,10073.58,0
40 mm,B,13.02,13.02,17.18,18.55,24.99,7.31,1129.89,1098.5,ogive,type1,3.52,13.88,tungsten,0.247,338.828,1341.69,0.253,19300,0.2048,0.321,61.71,Aluminum,11.17,12.0,10966.44,1
40 mm,C,6.75,6.75,13.8,15.95,72.28,3.03,1200.31,1179.77,cylindrical,type3,12.79,2.73,tungsten,0.272,214.112,862.962,0.248,19300,0.2314,0.545,70.11,Steel,22.25,29.9,9941.13,0
29 mm,B,9.31,9.31,17.99,21.63,50.96,7.06,729.67,728.88,spherical,type1,3.43,5.68,steel,0.863,657.948,1667.565,0.395,7800,0.1096,0.361,55.17,Aluminum,12.65,16.6,4789.1,0
40 mm,B,14.62,14.62,23.06,24.38,30.59,7.7,1650.37,1698.3,cylindrical,type3,8.22,7.9,steel,0.655,205.665,775.545,0.265,7800,0.249,0.417,36.48,Titanium,22.36,15.5,31404.5,1
40 mm,C,15.88,15.88,21.01,23.46,39.64,6.93,1071.74,1094.81,cylindrical,type3,10.87,4.94,aluminum,0.85,410.695,2416.807,0.17,2700,0.37,0.169,74.52,Aluminum,23.57,20.3,12066.32,0
40 mm,A,8.95,8.95,21.49,25.02,68.04,4.99,919.21,922.25,spherical,type3,8.3,10.63,aluminum,0.293,900.57,2424.046,0.372,2700,0.4852,0.194,73.53,Titanium,22.86,20.6,9078.96,0
40 mm,C,9.94,9.94,10.17,12.84,72.21,6.05,1150.12,1163.97,ogive,type1,6.42,10.82,tungsten,0.738,507.759,2442.361,0.208,19300,0.3961,0.54,63.79,Steel,27.86,37.3,6726.32,0
29 mm,A,8.7,8.7,13.39,15.02,51.18,4.37,1481.62,1512.82,spherical,type2,10.89,4.75,tungsten,0.364,905.054,1928.354,0.469,19300,0.1472,0.555,85.16,Titanium,28.86,42.9,14696.85,0
40 mm,B,19.35,19.35,16.08,19.29,48.82,5.18,1658.01,1573.92,cylindrical,type2,10.59,2.11,steel,0.44,543.445,2143.326,0.254,7800,0.456,0.494,56.15,Aluminum,8.67,32.1,22101.94,1
29 mm,B,7.86,7.86,5.88,8.92,65.04,7.82,936.91,990.49,cylindrical,type3,9.58,2.97,steel,0.829,260.95,1099.929,0.237,7800,0.4355,0.117,88.87,Steel,13.01,4.0,2580.73,0
40 mm,B,7.75,7.75,20.4,22.49,69.57,2.76,889.87,848.55,spherical,type1,8.87,2.01,aluminum,0.488,783.024,2660.886,0.294,2700,0.1756,0.5,37.36,Titanium,24.69,15.2,8077.06,0
40 mm,B,11.68,11.68,11.47,12.61,65.89,6.55,1738.16,1715.98,ogive,type1,11.17,13.77,steel,0.669,418.103,603.653,0.693,7800,0.4737,0.061,96.94,Titanium,24.55,8.5,17326.58,0
40 mm,B,7.84,7.84,10.65,11.67,43.07,4.54,1305.98,1323.0,cylindrical,type1,7.24,10.08,steel,0.821,969.77,912.564,1.063,7800,0.3856,0.378,36.41,Aluminum,6.77,29.8,9082.23,1
29 mm,B,7.35,7.35,10.19,13.67,58.52,2.24,1102.35,1098.58,spherical,type3,2.89,3.8,tungsten,0.81,335.916,2979.523,0.113,19300,0.4131,0.421,32.81,Aluminum,29.05,26.9,6191.32,0
40 mm,B,6.44,6.44,10.67,12.63,71.44,5.5,919.25,943.6,cylindrical,type3,8.99,3.2,tungsten,0.206,839.933,2889.111,0.291,19300,0.2837,0.285,68.27,Titanium,26.41,44.2,4508.18,0
40 mm,B,14.6,14.6,11.76,13.17,29.11,6.55,1794.77,1801.86,cylindrical,type1,11.4,12.63,aluminum,0.311,544.474,1621.338,0.336,2700,0.1803,0.314,27.45,Steel,27.48,20.1,18940.65,0
29 mm,C,14.18,14.18,17.1,19.66,43.29,4.98,1491.1,1476.63,cylindrical,type1,5.89,12.54,aluminum,0.843,857.919,1597.502,0.537,2700,0.4196,0.458,33.43,Steel,10.11,4.7,19009.89,1
29 mm,B,14.75,14.75,16.67,20.43,23.4,6.86,939.67,1016.11,ogive,type1,3.83,14.06,tungsten,0.594,264.733,527.097,0.502,19300,0.291,0.542,78.32,Titanium,17.52,26.9,7359.64,0
40 mm,B,16.6,16.6,10.11,11.14,44.53,3.56,800.39,835.79,cylindrical,type3,13.85,4.07,aluminum,0.536,670.302,2047.02,0.327,2700,0.487,0.154,44.65,Steel,16.01,16.5,3238.36,0
40 mm,C,9.9,9.9,9.13,10.3,66.34,7.4,919.21,934.32,ogive,type2,13.23,8.79,steel,0.246,201.867,286.891,0.704,7800,0.1613,0.126,84.01,Titanium,14.01,8.0,3857.18,0
40 mm,C,18.78,18.78,21.53,23.78,31.82,5.54,972.52,1007.15,cylindrical,type1,10.04,3.58,steel,0.218,824.964,1080.17,0.764,7800,0.2422,0.396,32.44,Titanium,10.68,16.7,10181.48,1
40 mm,A,16.0,16.0,6.85,9.88,52.51,6.62,822.19,786.92,cylindrical,type1,12.23,12.34,aluminum,0.867,312.088,1371.494,0.228,2700,0.3942,0.177,50.82,Titanium,8.49,10.7,2315.29,0
29 mm,C,17.07,17.07,15.26,17.69,22.2,2.91,952.62,1061.36,spherical,type2,14.59,7.36,aluminum,0.532,484.818,2703.159,0.179,2700,0.3289,0.157,50.9,Titanium,26.76,8.9,6924.11,0
40 mm,A,15.81,15.81,15.41,19.1,73.86,4.12,828.46,774.08,cylindrical,type2,9.4,11.05,tungsten,0.75,690.378,2911.667,0.237,19300,0.2733,0.162,58.43,Titanium,18.26,21.8,5288.3,0
29 mm,A,10.38,10.38,16.48,17.61,69.2,7.37,1115.5,1121.16,spherical,type1,5.17,2.39,tungsten,0.354,530.393,2927.195,0.181,19300,0.3806,0.158,52.83,Aluminum,20.02,36.5,10253.36,0
40 mm,C,9.25,9.25,22.71,24.73,51.46,1.36,1234.81,1220.49,ogive,type3,10.3,12.11,aluminum,0.366,801.007,2436.744,0.329,2700,0.3933,0.312,50.94,Steel,11.54,39.9,17313.6,1
29 mm,A,11.34,11.34,17.48,19.53,62.35,3.83,1200.81,1184.59,ogive,type2,13.89,4.98,aluminum,0.592,719.353,1011.992,0.711,2700,0.3309,0.58,46.28,Steel,28.38,11.7,12602.6,0
40 mm,C,6.46,6.46,24.47,26.49,26.23,6.46,1612.13,1589.42,ogive,type1,10.97,12.96,tungsten,0.813,217.365,326.982,0.665,19300,0.2276,0.505,21.21,Titanium,28.41,20.2,31798.31,1
29 mm,C,11.77,11.77,22.43,24.89,70.71,6.21,979.39,940.8,ogive,type3,2.34,4.42,aluminum,0.402,796.117,1391.729,0.572,2700,0.3475,0.349,69.33,Steel,21.79,37.9,10757.48,0
40 mm,C,5.65,5.65,9.29,12.66,62.92,6.96,1675.8,1735.22,spherical,type3,13.92,12.27,steel,0.43,481.134,1032.71,0.466,7800,0.3181,0.095,57.88,Titanium,13.01,44.5,13044.58,1
29 mm,C,5.06,5.06,9.82,11.77,27.2,6.18,1698.94,1638.7,spherical,type1,11.8,3.74,steel,0.585,637.982,2034.532,0.314,7800,0.4191,0.42,49.86,Titanium,10.82,38.2,14172.21,1
29 mm,C,18.97,18.97,11.9,15.13,78.84,7.63,1755.78,1804.96,ogive,type1,7.22,10.62,tungsten,0.228,294.916,1238.963,0.238,19300,0.3614,0.298,36.91,Titanium,19.88,22.2,18342.44,1
40 mm,A,15.34,15.34,12.83,14.27,21.35,4.49,899.08,931.51,cylindrical,type1,14.84,12.13,aluminum,0.465,480.782,2694.117,0.178,2700,0.2987,0.478,91.31,Steel,25.82,39.2,5185.53,0
29 mm,C,13.43,13.43,16.06,18.74,57.71,5.37,970.33,951.29,spherical,type3,11.38,7.02,aluminum,0.589,835.445,1247.292,0.67,2700,0.1075,0.322,39.03,Steel,29.17,31.8,7560.57,0
40 mm,A,10.12,10.12,9.65,11.78,30.31,6.93,1386.22,1412.85,spherical,type2,12.73,5.18,steel,0.203,933.635,1258.389,0.742,7800,0.1668,0.418,93.67,Titanium,6.7,5.1,9271.75,1
40 mm,A,13.56,13.56,9.45,12.07,63.16,5.91,854.98,847.09,ogive,type3,14.26,6.48,aluminum,0.647,944.826,2325.532,0.406,2700,0.2346,0.16,37.38,Aluminum,13.35,3.8,3453.93,0
40 mm,A,18.37,18.37,12.63,13.95,24.22,1.71,794.18,739.13,cylindrical,type2,2.51,5.86,aluminum,0.236,730.08,1852.075,0.394,2700,0.3406,0.508,97.71,Aluminum,14.78,42.1,3983.01,0
29 mm,B,14.79,14.79,18.44,22.3,24.87,3.57,781.07,726.55,spherical,type2,12.07,10.23,aluminum,0.704,171.019,914.808,0.187,2700,0.4169,0.479,53.59,Steel,14.23,41.6,5624.85,0
29 mm,C,14.04,14.04,18.76,22.48,47.98,4.87,1366.76,1399.53,ogive,type2,7.02,2.58,aluminum,0.761,498.37,2094.731,0.238,2700,0.484,0.256,62.62,Aluminum,21.69,20.6,17522.15,0
29 mm,A,11.9,11.9,24.52,28.0,79.64,6.28,1585.15,1615.33,spherical,type3,13.3,2.54,aluminum,0.787,273.764,1776.382,0.154,2700,0.3399,0.58,43.9,Steel,18.68,29.8,30805.71,1
40 mm,C,10.19,10.19,9.05,12.73,36.59,4.8,984.77,996.87,cylindrical,type2,13.43,5.74,aluminum,0.671,727.853,491.366,1.481,2700,0.3915,0.138,95.13,Steel,27.28,13.7,4388.22,0
40 mm,B,15.48,15.48,12.86,14.3,56.75,6.44,1726.89,1707.31,spherical,type3,12.77,5.6,aluminum,0.593,245.234,1508.339,0.163,2700,0.3486,0.061,42.61,Titanium,10.56,31.6,19175.22,1
40 mm,B,19.71,19.71,24.29,26.8,51.12,6.86,1571.13,1561.61,cylindrical,type3,12.13,4.3,steel,0.415,979.819,2772.371,0.353,7800,0.2721,0.47,78.42,Titanium,14.98,20.1,29979.32,1
40 mm,C,11.37,11.37,18.8,20.75,70.53,2.86,785.21,768.93,cylindrical,type3,12.33,11.32,aluminum,0.497,275.082,793.022,0.347,2700,0.3439,0.38,21.64,Titanium,18.53,15.7,5795.61,0
29 mm,B,10.88,10.88,16.85,20.51,37.32,5.31,1148.03,1060.68,ogive,type3,5.86,2.31,tungsten,0.261,147.442,1360.928,0.108,19300,0.2603,0.111,64.7,Titanium,25.42,19.8,11103.92,0
29 mm,B,11.42,11.42,15.79,17.36,53.3,4.9,774.82,777.88,cylindrical,type2,7.28,14.02,steel,0.695,859.192,972.659,0.883,7800,0.2815,0.138,79.33,Titanium,25.58,20.5,4739.73,0
29 mm,C,11.38,11.38,6.51,8.17,77.04,2.59,1706.71,1732.83,spherical,type1,3.5,11.85,steel,0.217,282.044,1703.377,0.166,7800,0.4644,0.122,57.67,Aluminum,26.48,42.4,9481.36,0
29 mm,B,19.86,19.86,22.87,25.93,39.96,4.43,1517.08,1520.46,spherical,type2,12.8,7.24,aluminum,0.489,121.611,2930.316,0.042,2700,0.3255,0.142,71.47,Steel,17.98,39.8,26318.02,1
29 mm,B,15.6,15.6,17.51,18.78,46.36,4.84,1455.2,1543.66,spherical,type3,10.4,13.17,tungsten,0.554,593.27,1067.592,0.556,19300,0.1402,0.304,81.44,Titanium,11.04,8.7,18539.65,1
29 mm,A,10.39,10.39,16.43,19.63,73.33,6.72,1450.97,1400.74,cylindrical,type3,9.97,10.04,steel,0.655,972.31,2531.939,0.384,7800,0.3095,0.078,60.02,Aluminum,23.16,12.5,17295.15,0
29 mm,A,10.57,10.57,15.79,17.59,39.95,4.23,1013.7,980.64,spherical,type2,5.2,9.41,tungsten,0.44,340.748,2547.228,0.134,19300,0.4813,0.336,37.45,Aluminum,28.87,13.5,8112.8,0
29 mm,A,11.46,11.46,12.84,15.82,42.84,1.57,1726.89,1733.54,cylindrical,type1,10.0,6.07,aluminum,0.51,467.851,926.364,0.505,2700,0.14,0.383,51.74,Aluminum,12.13,0.5,19145.4,1
40 mm,A,5.55,5.55,10.09,13.71,38.25,4.41,1715.05,1727.24,ogive,type2,7.91,10.62,aluminum,0.611,313.45,2363.299,0.133,2700,0.4885,0.45,78.46,Steel,9.96,23.9,14839.35,1
40 mm,A,12.92,12.92,20.11,22.94,68.57,6.87,1513.44,1418.38,ogive,type3,14.94,3.82,tungsten,0.846,602.186,2966.741,0.203,19300,0.4951,0.57,41.69,Aluminum,5.56,21.7,23030.98,1
40 mm,C,17.17,17.17,15.19,16.83,75.82,5.0,1215.82,1245.95,cylindrical,type1,13.22,8.82,aluminum,0.67,390.51,2871.259,0.136,2700,0.3243,0.095,70.56,Titanium,21.66,5.6,11227.07,0
29 mm,A,14.91,14.91,5.68,6.83,57.87,3.23,751.83,764.25,ogive,type1,8.84,3.51,steel,0.378,632.227,1896.073,0.333,7800,0.233,0.069,31.86,Aluminum,18.63,44.6,1605.31,0
29 mm,B,7.98,7.98,12.98,14.11,57.42,7.45,731.14,625.17,ogive,type1,12.51,7.79,aluminum,0.793,530.219,624.87,0.849,2700,0.1035,0.127,94.42,Aluminum,8.37,34.3,3469.33,0
29 mm,C,15.92,15.92,23.57,24.84,43.4,2.09,851.95,846.11,cylindrical,type3,4.14,10.01,aluminum,0.239,936.024,534.157,1.752,2700,0.1062,0.236,68.24,Titanium,9.99,8.2,8553.77,0
29 mm,C,15.79,15.79,12.48,15.22,20.75,3.29,1355.34,1314.91,ogive,type2,3.32,4.02,tungsten,0.391,703.016,947.099,0.742,19300,0.2552,0.339,57.46,Titanium,21.56,31.7,11462.55,0
40 mm,B,8.94,8.94,13.26,15.3,30.44,4.06,1577.91,1555.24,spherical,type1,10.2,4.89,tungsten,0.276,714.335,1883.676,0.379,19300,0.4132,0.052,84.92,Titanium,15.9,15.3,16507.37,1
40 mm,A,14.34,14.34,17.48,19.21,28.85,6.17,1743.31,1676.4,ogive,type1,11.45,12.57,steel,0.513,537.82,1281.432,0.42,7800,0.4769,0.431,83.77,Steel,10.83,28.5,26561.99,1
29 mm,C,14.16,14.16,21.03,22.69,26.95,6.85,892.9,913.71,spherical,type1,2.69,5.32,tungsten,0.646,372.831,2157.259,0.173,19300,0.1619,0.576,27.79,Titanium,20.15,21.2,8383.3,0
29 mm,A,17.6,17.6,18.37,22.22,59.24,1.41,1003.08,1091.17,ogive,type2,4.61,3.24,tungsten,0.572,382.567,2405.779,0.159,19300,0.2951,0.187,44.57,Steel,6.32,6.2,9241.67,1
29 mm,C,7.04,7.04,22.0,23.36,28.18,6.54,759.51,772.76,ogive,type3,8.98,6.3,aluminum,0.768,553.592,705.181,0.785,2700,0.3007,0.055,56.69,Steel,5.41,20.7,6345.41,1
29 mm,C,7.92,7.92,7.28,9.19,25.14,6.04,1787.95,1679.98,cylindrical,type2,2.82,14.16,aluminum,0.597,272.72,2734.824,0.1,2700,0.2521,0.464,47.24,Aluminum,11.52,43.3,11636.23,1
40 mm,A,12.29,12.29,23.49,25.9,42.95,7.26,1559.01,1573.29,spherical,type3,7.51,11.02,steel,0.363,219.184,369.604,0.593,7800,0.316,0.474,45.38,Aluminum,12.24,33.7,28546.37,1
40 mm,C,5.66,5.66,23.08,24.08,34.94,7.3,1228.79,1219.06,cylindrical,type3,8.27,9.48,tungsten,0.575,435.129,941.799,0.462,19300,0.47,0.074,48.18,Steel,7.61,28.2,17424.53,1
40 mm,A,11.23,11.23,15.38,19.14,28.75,6.44,1333.12,1278.07,cylindrical,type3,13.98,12.93,tungsten,0.715,217.428,2481.44,0.088,19300,0.2754,0.39,31.36,Aluminum,7.87,38.0,13666.74,1
40 mm,A,16.82,16.82,17.49,18.79,28.77,2.33,1318.39,1336.07,ogive,type1,6.1,10.58,aluminum,0.552,307.685,714.45,0.431,2700,0.1551,0.184,29.55,Titanium,9.2,37.3,15200.14,1
40 mm,C,7.23,7.23,9.26,12.31,35.37,3.2,979.8,1023.79,ogive,type3,4.19,12.54,tungsten,0.509,581.521,816.385,0.712,19300,0.3662,0.398,40.82,Aluminum,23.12,40.0,4444.84,0
40 mm,C,11.9,11.9,13.96,16.85,52.21,7.55,903.93,870.51,cylindrical,type1,2.1,10.54,tungsten,0.57,811.085,2931.838,0.277,19300,0.1125,0.45,25.61,Titanium,25.15,4.9,5703.28,0
40 mm,A,19.85,19.85,9.05,12.48,65.49,5.19,1026.67,944.48,ogive,type2,3.58,13.24,steel,0.584,302.294,2754.62,0.11,7800,0.476,0.173,60.82,Titanium,9.54,5.8,4769.58,0
40 mm,C,12.59,12.59,5.44,8.39,71.17,4.77,971.87,871.29,cylindrical,type3,11.76,10.11,steel,0.417,812.498,2475.726,0.328,7800,0.476,0.193,32.25,Titanium,21.42,36.0,2569.13,0
29 mm,C,12.47,12.47,24.62,27.93,65.09,7.41,1313.28,1280.0,cylindrical,type1,7.78,5.44,steel,0.798,113.987,686.643,0.166,7800,0.1369,0.386,25.41,Steel,10.84,44.8,21231.11,1
40 mm,C,13.38,13.38,10.18,12.44,57.69,7.12,1039.02,1031.24,ogive,type1,4.58,2.53,steel,0.345,997.32,914.387,1.091,7800,0.3204,0.37,86.97,Aluminum,27.0,25.3,5494.97,0
40 mm,A,7.79,7.79,16.86,19.33,74.46,6.09,1501.84,1476.04,ogive,type1,14.13,3.37,aluminum,0.223,565.245,858.47,0.658,2700,0.419,0.537,67.0,Steel,11.72,43.4,19014.06,1
40 mm,A,7.21,7.21,11.01,14.11,51.18,7.18,1324.73,1290.57,cylindrical,type1,12.24,8.66,steel,0.719,528.299,729.548,0.724,7800,0.2858,0.331,91.87,Titanium,8.24,29.8,9660.78,1
40 mm,C,15.16,15.16,12.41,15.12,58.0,1.8,1285.49,1313.88,cylindrical,type2,3.49,14.63,aluminum,0.79,685.5,2917.25,0.235,2700,0.2915,0.49,98.67,Titanium,15.98,3.8,10253.67,0
40 mm,C,10.94,10.94,12.96,15.49,44.7,6.3,1746.42,1769.56,ogive,type3,5.5,11.87,steel,0.65,527.658,664.879,0.794,7800,0.4881,0.453,67.48,Steel,8.86,41.7,19763.89,1
40 mm,C,9.35,9.35,11.7,13.32,39.64,7.76,1054.65,1064.63,ogive,type1,13.04,12.08,steel,0.528,467.22,2290.797,0.204,7800,0.1922,0.416,83.68,Aluminum,9.96,37.8,6506.88,0
29 mm,B,5.47,5.47,17.75,19.52,39.9,1.34,1398.8,1439.62,cylindrical,type2,11.0,10.63,steel,0.883,433.885,342.841,1.266,7800,0.3105,0.155,32.76,Steel,13.48,24.1,17365.19,1
40 mm,A,17.69,17.69,24.22,26.3,28.9,2.56,700.06,667.24,spherical,type3,14.29,13.75,aluminum,0.46,980.05,1722.658,0.569,2700,0.146,0.202,75.87,Aluminum,21.52,33.5,5934.92,0
40 mm,C,5.48,5.48,13.57,14.6,67.8,6.56,1510.62,1455.89,spherical,type3,2.99,11.56,aluminum,0.484,875.347,398.38,2.197,2700,0.221,0.362,63.96,Aluminum,7.92,15.8,15483.19,1
40 mm,A,16.25,16.25,24.47,26.72,23.32,4.64,1252.8,1226.68,spherical,type1,12.08,5.36,tungsten,0.614,552.17,372.91,1.481,19300,0.4404,0.086,74.11,Titanium,12.1,27.7,19202.93,1
29 mm,B,10.73,10.73,18.36,19.37,60.48,1.61,929.22,899.65,cylindrical,type2,2.99,8.49,aluminum,0.501,852.807,844.651,1.01,2700,0.3866,0.075,28.38,Steel,26.46,18.6,7926.47,0
40 mm,C,13.98,13.98,17.14,19.84,71.87,2.88,701.66,599.1,cylindrical,type1,6.38,7.26,aluminum,0.589,234.18,2791.69,0.084,2700,0.3448,0.077,94.87,Titanium,11.84,23.7,4219.24,0
29 mm,B,8.72,8.72,9.74,12.85,49.85,3.27,1477.64,1450.36,ogive,type1,11.76,4.15,aluminum,0.877,576.5,1988.724,0.29,2700,0.1456,0.557,53.4,Aluminum,9.21,28.6,10633.26,1
29 mm,A,7.33,7.33,6.26,8.95,24.21,3.25,1428.97,1484.21,spherical,type1,11.24,4.89,tungsten,0.366,505.154,2023.924,0.25,19300,0.4403,0.429,82.06,Titanium,18.34,2.4,6391.32,0
40 mm,A,13.0,13.0,22.04,25.12,45.71,7.14,1431.95,1471.99,ogive,type2,2.03,5.71,aluminum,0.304,392.394,1033.436,0.38,2700,0.2192,0.51,99.25,Titanium,5.83,4.3,22596.3,1
40 mm,B,15.43,15.43,16.48,17.48,40.59,5.63,1181.2,1207.46,cylindrical,type1,4.63,4.26,tungsten,0.496,926.596,2226.126,0.416,19300,0.314,0.58,89.86,Steel,25.1,3.7,11496.72,0
40 mm,C,7.93,7.93,13.29,14.47,79.13,6.14,1403.23,1409.81,spherical,type1,12.12,4.83,tungsten,0.553,849.244,2108.347,0.403,19300,0.1934,0.436,44.94,Steel,10.56,26.8,13084.37,1
29 mm,B,11.55,11.55,21.24,24.34,61.48,1.09,1328.47,1400.91,cylindrical,type1,3.64,13.91,aluminum,0.699,916.377,1492.719,0.614,2700,0.3083,0.333,52.16,Aluminum,8.32,18.6,18742.52,1
40 mm,C,11.67,11.67,11.21,14.62,63.28,3.99,962.78,909.77,spherical,type2,6.24,6.46,tungsten,0.869,671.695,2111.295,0.318,19300,0.3249,0.313,71.89,Steel,25.21,22.5,5195.53,0
40 mm,A,8.24,8.24,20.67,23.82,50.95,3.22,1270.64,1222.4,ogive,type2,4.39,12.76,aluminum,0.682,438.599,2627.979,0.167,2700,0.2362,0.46,63.04,Aluminum,26.07,22.5,16686.13,0
40 mm,C,13.48,13.48,11.56,14.55,62.56,6.96,1266.05,1322.26,ogive,type2,3.45,2.84,steel,0.891,781.131,2889.066,0.27,7800,0.3024,0.527,52.82,Aluminum,23.37,1.8,9264.66,0
40 mm,C,7.19,7.19,23.42,26.54,63.35,7.68,1605.99,1607.37,ogive,type1,12.88,14.76,tungsten,0.372,197.71,2990.463,0.066,19300,0.2624,0.506,72.27,Aluminum,10.86,35.8,30202.48,1
29 mm,B,12.65,12.65,10.36,13.58,23.98,3.96,1176.84,1143.28,cylindrical,type2,2.8,11.94,tungsten,0.346,867.772,1567.274,0.554,19300,0.379,0.321,92.76,Steel,18.17,31.5,7174.05,0
40 mm,C,6.7,6.7,7.75,10.92,33.36,7.81,1179.69,1207.29,cylindrical,type2,8.97,13.79,aluminum,0.415,125.901,291.709,0.432,2700,0.3176,0.475,44.76,Aluminum,29.23,31.0,5392.72,0
29 mm,B,12.28,12.28,18.96,22.17,20.78,1.1,1782.84,1760.92,spherical,type1,11.0,8.84,aluminum,0.751,836.391,841.699,0.994,2700,0.4512,0.312,30.27,Titanium,16.94,1.5,30132.36,1
40 mm,B,9.67,9.67,8.26,9.48,50.59,3.28,1683.91,1642.03,ogive,type3,2.75,10.25,steel,0.331,733.546,751.177,0.977,7800,0.1199,0.261,74.06,Steel,28.74,29.3,11710.83,0
29 mm,C,11.78,11.78,23.99,25.18,72.55,6.42,966.51,923.24,spherical,type3,10.23,6.69,aluminum,0.337,179.614,1041.509,0.172,2700,0.1107,0.214,67.17,Aluminum,21.91,22.5,11205.03,0
29 mm,C,11.51,11.51,18.11,20.19,56.57,3.52,1701.32,1717.4,spherical,type2,6.34,7.62,tungsten,0.488,232.298,1209.406,0.192,19300,0.1754,0.08,92.45,Aluminum,26.12,34.2,26209.6,1
40 mm,C,18.62,18.62,9.62,12.2,50.01,7.45,851.76,862.05,spherical,type2,12.84,11.76,steel,0.422,507.152,2072.296,0.245,7800,0.1474,0.161,79.41,Aluminum,9.81,4.4,3489.63,0
40 mm,A,12.35,12.35,9.18,12.47,75.56,2.53,1638.73,1714.57,cylindrical,type3,12.37,2.65,tungsten,0.653,369.887,1671.929,0.221,19300,0.3104,0.452,51.77,Aluminum,28.17,33.6,12326.15,0
40 mm,C,17.28,17.28,23.48,25.48,30.33,6.57,901.66,887.16,spherical,type2,12.32,2.48,steel,0.823,880.563,2019.285,0.436,7800,0.1801,0.144,70.67,Steel,26.33,43.3,9544.51,0
40 mm,A,8.38,8.38,17.16,18.99,24.48,2.41,1168.16,1152.8,spherical,type2,7.18,13.37,tungsten,0.297,273.55,2921.151,0.094,19300,0.1064,0.546,88.99,Aluminum,24.63,38.3,11708.25,0
40 mm,B,10.28,10.28,22.87,26.21,75.04,2.38,1782.31,1854.29,cylindrical,type2,12.69,3.43,steel,0.583,475.372,337.401,1.409,7800,0.213,0.093,47.8,Steel,28.53,40.2,36324.75,1
29 mm,B,6.13,6.13,7.2,8.95,74.17,4.12,806.75,856.03,ogive,type1,10.19,11.37,steel,0.262,334.424,240.316,1.392,7800,0.3037,0.078,21.11,Steel,24.72,3.4,2343.04,0
29 mm,B,11.31,11.31,23.51,26.97,60.98,7.61,1623.77,1631.01,cylindrical,type3,6.92,4.59,steel,0.355,214.464,2063.415,0.104,7800,0.3857,0.315,70.11,Aluminum,19.42,23.8,30993.57,1
29 mm,C,15.03,15.03,15.4,16.93,34.76,5.1,1244.21,1166.16,ogive,type1,3.05,6.76,steel,0.416,333.767,1729.511,0.193,7800,0.2754,0.172,22.07,Titanium,21.22,11.1,11920.05,0
29 mm,C,17.57,17.57,18.37,20.45,78.19,5.45,822.09,781.5,ogive,type1,2.87,5.82,steel,0.605,873.988,1551.698,0.563,7800,0.4851,0.107,95.0,Titanium,25.52,24.5,6207.52,0
